airportId,iata,longitude,latitude
DNMA,MIU,13.080900192260742,11.855299949645996
DNMK,MDI,8.61394,7.70388
DNMM,LOS,3.321160078048706,6.5773701667785645
DNMN,MXJ,6.462259769439697,9.652170181274414
DNPO,PHC,6.94959020614624,5.0154900550842285
DNSO,SKO,5.207190036773682,12.916299819946289
DNYO,YOL,12.430399894714355,9.257550239562988
DNZA,ZAR,7.68581,11.1302
DRRM,MFQ,7.1267499923706055,13.5024995803833
DRRN,NIM,2.18361,13.4815
DRRT,THZ,5.265359878540039,14.875699996948242
DRZA,AJY,8.000109672546387,16.965999603271484
DRZR,ZND,8.983759880065918,13.779000282287598
DTKA,TBJ,8.87693977355957,36.97999954223633
DTMB,MIR,10.75469970703125,35.75809860229492
DTTA,TUN,10.22719955444336,36.85100173950195
DTTF,GAF,8.822500228881836,34.422000885009766
DTTG,GAE,10.103300094604492,33.87689971923828
DTTJ,DJE,10.775500297546387,33.875
DTTR,EBM,9.254619598388672,31.704299926757812
DTTX,SFA,10.690999984741211,34.71799850463867
DTTZ,TOE,8.110560417175293,33.939701080322266
DXNG,LRL,1.091249942779541,9.767330169677734
DXXX,LFW,1.2545100450515747,6.165609836578369
EBAW,ANR,4.46027994156,51.1893997192
EBBR,BRU,4.48443984985,50.901401519800004
EBCI,CRL,4.45382,50.459202
EBKT,KJK,3.20472002029,50.817199707
EBLG,LGG,5.443220138549805,50.63740158081055
EBOS,OST,2.8622200489,51.198898315399994
EDAC,AOC,12.506389,50.981945
EDAH,HDF,14.152299881,53.8787002563
EDBM,ZMG,11.626389,52.073612
EDBN,FNB,13.306,53.6022
EDDB,SXF,13.5225,52.380001
EDDC,DRS,13.767200469970703,51.1328010559082
EDDE,ERF,10.958100318908691,50.979801177978516
EDDF,FRA,8.570556,50.033333
EDDG,FMO,7.68483018875,52.134601593
EDDH,HAM,9.9882297515869,53.630401611328
EDDK,CGN,7.1427397728,50.8658981323
EDDL,DUS,6.76678,51.289501
EDDM,MUC,11.7861,48.353802
EDDN,NUE,11.078056,49.498699
EDDP,LEJ,12.236389,51.423889
EDDR,SCN,7.10950994492,49.214599609400004
EDDS,STR,9.22196006775,48.689899444599995
EDDT,TXL,13.2877,52.5597
EDDV,HAJ,9.685079574580001,52.461101532
EDDW,BRE,8.78666973114,53.0475006104
EDFH,HHN,7.26389,49.9487
EDFM,MHG,8.514167,49.473057
EDGE,EIB,10.47973,50.991604
EDGS,SGE,8.082969665527344,50.707698822021484
EDHI,XFW,9.835556030273438,53.5352783203125
EDHK,KEL,10.145277976989746,54.37944412231445
EDHL,LBC,10.7192001343,53.8054008484
EDJA,FMM,10.2395000458,47.988800048799995
EDLN,MGL,6.504444,51.230278
EDLP,PAD,8.616319656369999,51.614101409899995
EDLV,NRN,6.14216995239,51.6024017334
EDLW,DTM,7.61223983765,51.51829910279999
EDMA,AGB,10.931667,48.425278
EDMO,OBF,11.2831,48.081402
EDNY,FDH,9.51148986816,47.671298980699994
EDOP,SZW,11.7834,53.426998
EDQD,BYU,11.64,49.985001
EDQM,HOQ,11.856389045715332,50.288612365722656
EDSB,FKB,8.08049964905,48.7793998718
EDTD,ZQL,8.52222156525,47.97333145139999
EDTL,LHA,7.82772016525,48.3693008423
EDVE,BWE,10.5561,52.319199
EDVK,KSF,9.384967,51.417273
EDXW,GWT,8.34047031403,54.9132003784
EEKA,KDL,22.830699920654297,58.99079895019531
EEKE,URE,22.50950050354004,58.22990036010742
EEPU,EPU,24.47279930114746,58.41899871826172
EETN,TLL,24.832799911499997,59.41329956049999
EETU,TAY,26.690399169900004,58.3074989319
EFET,ENF,23.424299240112,68.362602233887
EFHA,KEV,24.786686,61.856039
EFHF,HEM,25.042800903320312,60.254600524902344
EFHK,HEL,24.963300704956,60.317199707031
EFIT,KTQ,30.073601,62.1661
EFIV,IVL,27.405300140381,68.607299804688
EFJO,JOE,29.607500076294,62.662899017334
EFJY,JYV,25.678300857544,62.399501800537
EFKA,KAU,23.051399,63.127102
EFKE,KEM,24.582099914551,65.778701782227
EFKI,KAJ,27.692399978638,64.285499572754
EFKJ,KHJ,22.3931007385,62.4625015259
EFKK,KOK,23.143100738525,63.721199035645
EFKS,KAO,29.239400863647,65.987602233887
EFKT,KTT,24.846799850464,67.700996398926
EFKU,KUO,27.797800064087,63.007099151611
EFLP,LPP,28.144743,61.044601
EFMA,MHQ,19.898199081421,60.122200012207
EFMI,MIK,27.201799,61.6866
EFOU,OUL,25.354600906372,64.930099487305
EFPO,POR,21.799999237061,61.461700439453
EFRO,RVN,25.830400466919,66.564796447754
EFSA,SVL,28.945100784302,61.943099975586
EFSI,SJY,22.8323,62.692101
EFSO,SOT,26.6191005707,67.3949966431
EFTP,TMP,23.604400634766,61.414100646973
EFTU,TKU,22.262800216675,60.514099121094
EFUT,UTI,26.938400268555,60.89640045166
EFVA,VAA,21.762199401855,63.050701141357
EFVR,VRK,27.868600845337,62.171100616455
EFYL,YLI,24.7252778,64.0547222
EGAA,BFS,-6.2158298492399995,54.6575012207
EGAB,ENK,-7.651669979095459,54.39889907836914
EGAC,BHD,-5.872499942779541,54.618099212646484
EGAE,LDY,-7.161109924316406,55.04280090332031
EGBB,BHX,-1.74802994728,52.453899383499994
